[00:00:01	][IC] Lorf: Pora pracować.
[15:56:21	]Wenli has taken 50 damage from worldspawn.
[15:56:21	]Wenli was knocked unconscious and is bleeding out.
[15:56:24	]Wenli was killed while bleeding out.
[15:56:24	]worldspawn has killed Wenli.
[15:56:31	][OOC] Wenli: nienawidze słoików
[15:56:33	]Wenli entered observer.
[15:56:39	][OOC] Wenli: dobra ustawiam dalej stashe
[15:56:40	][OOC] Pozytyw: xd
[15:56:42	]Wenli exited observer at their location.
[15:56:43	]Wenli entered observer.
[15:56:44	]Pozytyw entered observer.
[15:56:46	]Pozytyw exited observer at their location.
[15:57:03	]Pozytyw entered observer.
[15:57:13	]Pozytyw exited observer at their location.
[15:57:14	]Pozytyw entered observer.
[15:57:14	]Pozytyw exited observer at their location.
[15:57:26	]Pozytyw entered observer.
[15:57:27	]Pozytyw exited observer at their location.
[15:57:28	]Pozytyw entered observer.
[15:57:29	]Pozytyw exited observer at their location.
[15:57:42	]Pozytyw has spawned 'models/props_lab/jar01a.mdl'.
[15:57:44	]Pozytyw has spawned 'models/props_lab/jar01a.mdl'.
[15:57:46	]Pozytyw has spawned 'models/props_lab/jar01b.mdl'.
[15:57:48	]Pozytyw entered observer.
[15:57:49	]Pozytyw exited observer at their location.
[15:57:53	]Wenli exited observer at their location.
[15:58:01	]Wenli has spawned a 'Entity [1876][ix_pickupterminal]'.
[15:58:02	]Wenli has spawned a 'Entity [2010][ix_pickupterminal]'.
[15:58:03	]Wenli has spawned a 'Entity [1857][ix_pickupterminal]'.
[15:58:06	]Wenli entered observer.
[15:58:07	]Pozytyw entered observer.
[15:58:08	]Wenli exited observer at their location.
[15:58:10	]Pozytyw exited observer at their location.
[15:58:10	]Wenli has spawned a 'Entity [1879][ix_pickupterminal]'.
[15:58:10	]Pozytyw entered observer.
[15:58:11	]Wenli has spawned a 'Entity [1973][ix_pickupterminal]'.
[15:58:13	]Wenli entered observer.
[15:58:31	][OOC] Pozytyw: Pomóc Ci z czymś?
[15:58:36	]Pozytyw exited observer at their location.
[15:58:37	]Pozytyw entered observer.
[15:58:37	]Pozytyw exited observer at their location.
[15:58:45	][OOC] Wenli: możesz obok każdego terminalu cywilnego ustawić obok pickup terminal
[15:58:47	]Pozytyw entered observer.
[15:58:50	][OOC] Wenli: jak jakiś znajdziesz bez tego
[15:59:03	][OOC] Pozytyw: W sensie ten do odbioru?
[15:59:03	]Pozytyw exited observer at their location.
[15:59:05	][OOC] Wenli: tak
[15:59:10	][IC] Wenli: Ix_pickupterminal.
[15:59:11	][OOC] Pozytyw: Tera go znaleźć
[15:59:12	][OOC] Wenli: ix_pickupterminal
[15:59:18	][OOC] Wenli: przedmioty, kategori hl2rp
[15:59:20	][OOC] Wenli: hl2 rp
[15:59:38	]Wenli exited observer at their location.
[15:59:40	]Wenli has spawned a 'Entity [1881][ix_pickupcache]'.
[15:59:41	]Wenli has spawned a 'Entity [1895][ix_pickupterminal]'.
[15:59:42	]Pozytyw has spawned a 'Entity [1881][ix_pickupterminal]'.
[15:59:42	]Wenli entered observer.
[15:59:43	]Wenli exited observer at their location.
[15:59:45	]Wenli has spawned a 'Entity [1914][ix_pickupterminal]'.
[15:59:47	]Wenli entered observer.
[15:59:49	]Pozytyw entered observer.
[15:59:51	]Pozytyw exited observer at their location.
[15:59:51	]Pozytyw entered observer.
[15:59:51	]Pozytyw exited observer at their location.
[15:59:59	]Wenli exited observer at their location.
[16:00:00	]Wenli entered observer.
[16:00:15	]Pozytyw used command '/CreateCid Pozytyw'.
[16:00:15	]Pozytyw has gained a 'Karta identyfikacyjna #61547' #6636.
[16:00:22	]Pozytyw ran 'SetCredits' on item 'Karta identyfikacyjna #61547' (#6636)
[16:00:26	]Pozytyw ustawił(a) kredyty karty #6636's na 69.
[16:00:34	]Pozytyw entered observer.
[16:00:38	]Pozytyw exited observer at their location.
[16:00:40	]Pozytyw has spawned a 'Entity [1879][ix_pickupterminal]'.
[16:00:46	]Pozytyw entered observer.
[16:00:47	]Pozytyw exited observer at their location.
[16:00:54	]Wenli exited observer at their location.
[16:00:56	]Wenli entered observer.
[16:01:00	]Wenli exited observer at their location.
[16:01:02	]Wenli entered observer.
[16:01:04	]Pozytyw entered observer.
[16:01:07	]Pozytyw exited observer at their location.
[16:01:11	]Pozytyw entered observer.
[16:01:14	]Pozytyw exited observer at their location.
[16:01:29	]Pozytyw entered observer.
[16:01:48	]Pozytyw exited observer at their location.
[16:01:52	]Pozytyw entered observer.
[16:02:02	]Pozytyw exited observer at their location.
[16:02:03	]Pozytyw entered observer.
[16:02:05	]Pozytyw exited observer at their location.
[16:02:11	]Pozytyw entered observer.
[16:02:14	]Pozytyw exited observer at their location.
[16:02:14	]Pozytyw entered observer.
[16:02:15	]Pozytyw exited observer at their location.
[16:02:18	]Pozytyw entered observer.
[16:02:19	]Wenli exited observer at their location.
[16:02:30	]Wenli has spawned 'models/props_c17/Lockers001a.mdl'.
[16:02:34	]Wenli created a stash (models/props_c17/lockers001a.mdl).
[16:02:34	]Wenli has used a context menu option with the name: ixcreatestash
[16:02:38	]Wenli has set a stash name to 'Schowek "Kanały"'.
[16:02:38	]Wenli has used a context menu option with the name: ixstashsetname
[16:02:41	]Wenli entered observer.
[16:02:54	]Wenli exited observer at their location.
[16:02:55	]Wenli opened the 'Schowek "Kanały"' stash.
[16:02:56	]Wenli has lost a 'Stunstick' #4940.
[16:02:56	]Wenli has transferred a 'Stunstick' #4940 to a container with the name 'Schowek "Kanały"' #778.
[16:02:56	]Pozytyw exited observer at their location.
[16:02:58	]Wenli closed the 'Schowek "Kanały"' stash.
[16:02:59	]Pozytyw entered observer.
[16:03:01	]Wenli has set a stash name to 'Schowek aa'.
[16:03:01	]Wenli has used a context menu option with the name: ixstashsetname
[16:03:11	]Wenli has set a stash name to 'Schowek "Kanały"'.
[16:03:11	]Wenli has used a context menu option with the name: ixstashsetname
[16:03:12	]Wenli opened the 'Schowek "Kanały"' stash.
[16:03:16	]Wenli closed the 'Schowek "Kanały"' stash.
[16:03:17	]Wenli entered observer.
[16:03:27	]Wenli used the 'Barnaba' smuggler.
[16:03:31	]Pozytyw exited observer at their location.
[16:03:31	]Pozytyw entered observer.
[16:03:41	]Wenli has used a context menu option with the name: smuggler_edit
[16:03:56	]Pozytyw exited observer at their location.
[16:04:04	]Pozytyw entered observer.
[16:04:06	]Pozytyw exited observer at their location.
[16:04:06	]Pozytyw entered observer.
[16:04:08	]Pozytyw exited observer at their location.
[16:04:12	]Wenli exited observer at their location.
[16:04:22	]Pozytyw entered observer.
[16:04:29	]Pozytyw exited observer at their location.
[16:04:30	]Pozytyw has spawned a 'Entity [1856][ix_pickupcache]'.
[16:04:31	]Pozytyw has spawned a 'Entity [1982][ix_pickupterminal]'.
[16:04:39	]Pozytyw entered observer.
[16:04:41	]Pozytyw exited observer at their location.
[16:04:41	]Pozytyw entered observer.
[16:04:45	]Pozytyw exited observer at their location.
[16:04:46	]Wenli entered observer.
[16:04:46	]Wenli exited observer at their location.
[16:04:47	]Wenli entered observer.
[16:04:51	]Pozytyw entered observer.
[16:04:52	]Pozytyw exited observer at their location.
[16:04:52	]Pozytyw entered observer.
[16:04:53	]Pozytyw exited observer at their location.
[16:04:54	]Pozytyw entered observer.
[16:04:54	]Pozytyw exited observer at their location.
[16:04:55	]Pozytyw entered observer.
[16:04:56	]Pozytyw exited observer at their location.
[16:05:06	]Pozytyw ran 'Deploy' on item 'Telefon stacjonarny' (#4813)
[16:05:10	]Wenli exited observer at their location.
[16:05:10	]Wenli entered observer.
[16:05:11	]Wenli exited observer at their location.
[16:05:11	]Wenli entered observer.
[16:05:21	]Pozytyw entered observer.
[16:05:25	]Wenli exited observer at their location.
[16:05:27	]Wenli entered observer.
[16:05:31	]Pozytyw exited observer at their location.
[16:05:31	]Wenli exited observer at their location.
[16:05:32	]Pozytyw entered observer.
[16:05:33	]Wenli entered observer.
[16:05:33	]Pozytyw exited observer at their location.
[16:05:36	]Pozytyw entered observer.
[16:05:40	]Pozytyw exited observer at their location.
[16:05:40	]Wenli exited observer at their location.
[16:05:41	]Wenli entered observer.
[16:05:41	]Wenli exited observer at their location.
[16:05:43	]Wenli entered observer.
[16:05:44	]Pozytyw has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[16:05:45	]Wenli exited observer at their location.
[16:05:47	]Pozytyw entered observer.
[16:05:49	]Pozytyw exited observer at their location.
[16:05:57	]Pozytyw ran 'take' on item 'Racja żywnościowa' (#6637)
[16:05:57	]Pozytyw has gained a 'Racja żywnościowa' #6637.
[16:05:59	]Wenli entered observer.
[16:05:59	]Pozytyw ran 'Open' on item 'Racja żywnościowa' (#6637)
[16:05:59	]Pozytyw has gained a 'Syntetyczna papka' #6638.
[16:05:59	]Pozytyw has gained a 'Woda Breena' #6639.
[16:05:59	]Pozytyw has gained a 'Podstawowy kupon na Kredyty.' #6640.
[16:05:59	]Wenli exited observer at their location.
[16:06:01	]Pozytyw ran 'Consume' on item 'Syntetyczna papka' (#6638)
[16:06:01	]Pozytyw has gained a 'Pusty słoik' #6641.
[16:06:01	]Pozytyw ran 'Consume' on item 'Woda Breena' (#6639)
[16:06:01	]Pozytyw has gained a 'Pusta puszka po wodzie Breen'a' #6642.
[16:06:01	]Wenli entered observer.
[16:06:03	]Pozytyw ran 'Use' on item 'Podstawowy kupon na Kredyty.' (#6640)
[16:06:08	]Pozytyw entered observer.
[16:06:14	]Wenli exited observer at their location.
[16:06:14	]Wenli entered observer.
[16:06:16	]Pozytyw has spawned a 'Entity [1856][ix_batterycharger]'.
[16:06:24	]Pozytyw has spawned a 'Entity [1856][ix_medical_computer]'.
[16:06:53	]Pozytyw exited observer at their location.
[16:06:55	]Pozytyw entered observer.
[16:07:07	]Pozytyw exited observer at their location.
[16:07:11	]Pozytyw entered observer.
[16:07:15	]Pozytyw exited observer at their location.
[16:07:18	]Pozytyw entered observer.
[16:07:35	]Pozytyw exited observer at their location.
[16:07:36	]Pozytyw entered observer.
[16:09:01	]Pozytyw exited observer at their location.
[16:09:11	]Pozytyw entered observer.
[16:09:16	]Pozytyw exited observer at their location.
[16:09:17	]Pozytyw entered observer.
[16:09:37	]Pozytyw exited observer at their location.
[16:09:41	]Pozytyw (STEAM_0:0:84397718) has disconnected.
[16:11:01	]Wenli exited observer at their location.
[16:13:22	]Wenli entered observer.
[16:13:25	]Wenli exited observer at their location.
[16:13:30	]Wenli entered observer.
[16:14:16	]Wenli exited observer at their location.
[16:14:17	]Wenli entered observer.
[16:14:18	]Wenli exited observer at their location.
[16:14:22	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[16:14:22	]Wenli used command '/InfestationEdit'.
[16:15:29	]Wenli has spawned 'models/props_foliage/cattails.mdl'.
[16:15:48	]Wenli has spawned 'models/props_outland/pumpkin01_explosive.mdl'.
[16:16:12	]Wenli has spawned 'models/willardnetworks/food/xenflora.mdl'.
[16:16:26	]Wenli has spawned 'models/willardnetworks/food/berries02.mdl'.
[16:17:20	]Wenli has spawned 'models/props_forest/fern01.mdl'.
[16:17:27	]Wenli has spawned 'models/props_foliage/small_cattails.mdl'.
[16:17:45	]Wenli has spawned 'models/props_junk/watermelon01_chunk01c.mdl'.
[16:17:46	]Wenli has spawned 'models/props_junk/watermelon01_chunk02b.mdl'.
[16:19:25	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:19:27	]Wenli has spawned 'models/props_junk/watermelon01_chunk01a.mdl'.
[16:20:25	]Wenli has spawned 'models/props/cs_office/plant01.mdl'.
[16:20:55	]Wenli has spawned 'models/props_junk/watermelon01_chunk01c.mdl'.
[16:21:43	]Wenli has spawned 'models/props_outland/pumpkin01_chunk01a.mdl'.
[16:21:51	]Wenli has spawned 'models/props_outland/pumpkin01_chunk01a.mdl'.
[16:22:04	]Wenli has spawned 'models/props_outland/pumpkin01_chunk01a.mdl'.
[16:22:22	]Wenli has spawned 'models/props_junk/watermelon01_chunk01c.mdl'.
[16:22:51	][INFESTATION] Wenli (STEAM_0:1:86169246) created a new xipe-Class "Skażenie Metro" Infestation Zone.
[16:23:00	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[16:23:03	]Wenli entered observer.
[16:23:04	]Wenli exited observer at their location.
[16:24:06	]Wenli has given himself a kitknife.
[16:24:06	]Wenli has gained a 'Nóż kuchenny' #6643.
[16:24:09	]Wenli ran 'Equip' on item 'Nóż kuchenny' (#6643)
[16:24:13	]Wenli has gained a 'clusterItemName' #6644.
[16:24:15	]Wenli has gained a 'clusterItemName' #6645.
[16:24:39	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[16:24:39	]Wenli used command '/InfestationEdit'.
[16:24:45	][INFESTATION] Wenli (STEAM_0:1:86169246) removed the "Skażenie Metro" Infestation Zone.
[16:24:49	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[16:24:50	]Wenli entered observer.
[16:31:18	]Wenli exited observer at their location.
[16:31:18	]Wenli entered observer.
[16:36:46	]Wenli przeszedł w tryb AFK.
[16:37:21	]Wenli nie jest już AFK. Całkowity czas spędzony AFK:  330
[16:41:54	]Wenli exited observer at their location.
[16:41:55	]Wenli has given himself a ic_hose.
[16:41:55	]Wenli has gained a 'hoseItemName' #6646.
[16:45:17	]Wenli ran 'drop' on item 'hoseItemName' (#6646)
[16:45:17	]Wenli has lost a 'hoseItemName' #6646.
[16:45:19	]Wenli has used a context menu option with the name: remove
[16:50:21	]Wenli przeszedł w tryb AFK.
[16:53:52	]Wenli entered observer.
[16:53:56	]Wenli exited observer at their location.
[16:53:56	]Wenli nie jest już AFK. Całkowity czas spędzony AFK:  510
[16:53:59	]Wenli entered observer.
[16:54:15	]Wenli exited observer at their location.
[16:54:16	]Wenli entered observer.
[16:54:17	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:25	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[16:54:25	]Wenli used command '/InfestationEdit'.
[16:54:31	]Wenli exited observer at their location.
[16:54:38	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:45	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:46	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:47	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:48	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:54:49	]Wenli has spawned 'models/props_junk/watermelon01.mdl'.
[16:55:07	][INFESTATION] Wenli (STEAM_0:1:86169246) created a new xipe-Class "Strefa Metro" Infestation Zone.
[16:55:09	]Wenli entered observer.
[16:55:10	]Wenli exited observer at their location.
[16:55:15	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[16:55:20	]Wenli entered observer.
[16:55:36	]Wenli exited observer at their location.
[16:55:44	]Wenli has gained a 'clusterItemName' #6647.
[16:56:06	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[16:56:06	]Wenli used command '/InfestationEdit'.
[16:56:15	][INFESTATION] Wenli (STEAM_0:1:86169246) removed the "Strefa Metro" Infestation Zone.
[16:56:17	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[17:01:56	]Wenli przeszedł w tryb AFK.
[17:10:11	]Wenli nie jest już AFK. Całkowity czas spędzony AFK:  790
[17:10:39	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[17:10:39	]Wenli used command '/InfestationEdit'.
[17:10:40	]Wenli entered observer.
[17:10:45	]Wenli exited observer at their location.
[17:10:49	]Wenli entered observer.
[17:10:50	]Wenli exited observer at their location.
[17:10:57	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[17:11:02	]Wenli has gained a 'clusterItemName' #6648.
[17:11:24	]Wenli entered observer.
[17:11:27	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[17:11:27	]Wenli used command '/InfestationEdit'.
[17:11:58	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[17:17:11	]Wenli przeszedł w tryb AFK.
[17:17:51	]Wenli nie jest już AFK. Całkowity czas spędzony AFK:  335
[17:21:47	]Wenli exited observer at their location.
[17:21:48	]Wenli entered observer.
[17:22:40	]Wenli exited observer at their location.
[17:22:47	]Wenli entered observer.
[17:22:52	]Wenli exited observer at their location.
[17:22:55	]Wenli entered observer.
[17:23:04	]Wenli exited observer at their location.
[17:23:05	]Wenli entered observer.
[17:23:07	]Wenli exited observer at their location.
[17:23:08	]Wenli entered observer.
[17:23:09	]Wenli exited observer at their location.
[17:23:09	]Wenli entered observer.
[17:23:22	]inkaaz has connected.
[17:24:25	]inkaaz loaded the character 'inkaaz'
[17:24:27	]inkaaz entered observer.
[17:25:57	]inkaaz exited observer at their location.
[17:25:57	]inkaaz entered observer.
[17:25:57	]inkaaz exited observer at their location.
[17:25:57	]inkaaz entered observer.
[17:25:58	]inkaaz exited observer at their location.
[17:25:59	]inkaaz entered observer.
[17:25:59	]inkaaz exited observer at their location.
[17:26:00	]inkaaz entered observer.
[17:26:02	]inkaaz exited observer at their location.
[17:26:03	]inkaaz entered observer.
[17:26:56	]inkaaz exited observer at their location.
[17:26:57	]inkaaz entered observer.
[17:26:57	]inkaaz exited observer at their location.
[17:26:58	]inkaaz has taken 46 damage from worldspawn.
[17:26:58	]inkaaz entered observer.
[17:27:02	]inkaaz ran SAM command 'hp' with arguments: '^' '100'
[17:27:05	]inkaaz is fully healed.
[17:29:21	]Wenli przeszedł w tryb AFK.
[17:31:47	]inkaaz exited observer at their location.
[17:31:47	]inkaaz entered observer.
[17:32:11	]Wenli nie jest już AFK. Całkowity czas spędzony AFK:  465
[17:32:17	]inkaaz has unloaded their "inkaaz" character.
[17:32:21	]inkaaz loaded the character 'Adhemar Blanco'
[17:32:25	]Adhemar Blanco entered observer.
[17:32:26	]Adhemar Blanco is fully healed.
[17:32:51	]Wenli exited observer at their location.
[17:32:51	]Wenli entered observer.
[17:32:52	]Wenli exited observer at their location.
[17:32:52	]Wenli entered observer.
[17:33:18	]Wenli exited observer at their location.
[17:33:18	]Wenli entered observer.
[17:35:23	]Wenli exited observer at their location.
[17:35:24	]Wenli entered observer.
[17:35:25	]Wenli exited observer at their location.
[17:35:26	]Wenli entered observer.
[17:35:29	]Wenli exited observer at their location.
[17:35:30	]Wenli entered observer.
[17:35:31	]Wenli exited observer at their location.
[17:35:32	]Wenli entered observer.
[17:35:41	]Wenli exited observer at their location.
[17:35:42	]Wenli entered observer.
[17:35:42	]Wenli exited observer at their location.
[17:35:45	]Wenli entered observer.
[17:35:45	]Wenli exited observer at their location.
[17:35:47	]Wenli entered observer.
[17:35:47	]Wenli exited observer at their location.
[17:35:48	]Wenli entered observer.
[17:35:49	]Wenli exited observer at their location.
[17:35:50	]Wenli entered observer.
[17:35:58	]Adhemar Blanco exited observer at their location.
[17:38:17	]Adhemar Blanco entered observer.
[17:38:18	]Adhemar Blanco exited observer at their location.
[17:38:18	]Adhemar Blanco entered observer.
[17:38:26	]Adhemar Blanco exited observer at their location.
[17:38:29	]Adhemar Blanco entered observer.
[17:38:36	]Adhemar Blanco exited observer at their location.
[17:38:37	]Adhemar Blanco entered observer.
[17:39:52	]Adhemar Blanco exited observer at their location.
[17:40:14	]Wenli exited observer at their location.
[17:41:03	]Wenli entered observer.
[17:41:18	]Adhemar Blanco entered observer.
[17:41:56	]Adhemar Blanco exited observer at their location.
[17:41:58	]Adhemar Blanco entered observer.
[17:42:14	]Wenli exited observer at their location.
[17:42:15	]Wenli entered observer.
[17:42:17	]Wenli exited observer at their location.
[17:42:17	]Wenli entered observer.
[17:42:53	]Wenli exited observer at their location.
[17:42:53	]Wenli entered observer.
[17:43:08	]Wenli exited observer at their location.
[17:43:08	]Wenli entered observer.
[17:43:16	]Wenli exited observer at their location.
[17:43:16	]Wenli entered observer.
[17:43:16	]Wenli exited observer at their location.
[17:43:17	]Wenli entered observer.
[17:43:17	]Wenli exited observer at their location.
[17:43:18	]Wenli entered observer.
[17:43:34	]Wenli exited observer at their location.
[17:43:35	]Wenli entered observer.
[17:43:36	]Wenli exited observer at their location.
[17:43:38	]Wenli entered observer.
[17:43:38	]Wenli exited observer at their location.
[17:43:39	]Wenli entered observer.
[17:43:39	]Wenli exited observer at their location.
[17:43:39	]Wenli entered observer.
[17:43:40	]Wenli exited observer at their location.
[17:43:40	]Wenli entered observer.
[17:43:41	]Wenli exited observer at their location.
[17:43:42	]Wenli entered observer.
[17:43:42	]Wenli exited observer at their location.
[17:43:44	]Wenli entered observer.
[17:43:46	]Wenli exited observer at their location.
[17:43:47	]Wenli entered observer.
[17:43:47	]Wenli exited observer at their location.
[17:43:49	]Wenli entered observer.
[17:43:50	]Wenli exited observer at their location.
[17:43:51	]Wenli entered observer.
[17:43:52	]Wenli exited observer at their location.
[17:43:53	]Wenli entered observer.
[17:43:54	]Wenli exited observer at their location.
[17:43:55	]Wenli entered observer.
[17:43:59	]Wenli exited observer at their location.
[17:44:00	]Wenli entered observer.
[17:44:01	]Wenli exited observer at their location.
[17:44:02	]Wenli entered observer.
[17:44:02	]Wenli exited observer at their location.
[17:44:04	]Wenli entered observer.
[17:44:04	]Wenli exited observer at their location.
[17:44:05	]Wenli entered observer.
[17:44:06	]Wenli exited observer at their location.
[17:44:08	]Wenli entered observer.
[17:44:09	]Wenli exited observer at their location.
[17:44:10	]Wenli entered observer.
[17:44:10	]Wenli exited observer at their location.
[17:44:20	]Wenli entered observer.
[17:44:21	]Wenli exited observer at their location.
[17:44:22	]Wenli entered observer.
[17:44:39	]Wenli exited observer at their location.
[17:44:40	]Wenli entered observer.
[17:45:04	]Wenli exited observer at their location.
[17:45:05	]Wenli entered observer.
[17:45:11	]Wenli exited observer at their location.
[17:45:11	]Wenli entered observer.
[17:45:11	]Wenli exited observer at their location.
[17:45:12	]Wenli entered observer.
[17:45:12	]Wenli exited observer at their location.
[17:45:14	]Wenli entered observer.
[17:45:15	]Wenli exited observer at their location.
[17:45:17	]Wenli entered observer.
[17:45:17	]Wenli exited observer at their location.
[17:45:18	]Wenli entered observer.
[17:45:18	]Wenli exited observer at their location.
[17:45:20	]Wenli entered observer.
[17:45:20	]Wenli exited observer at their location.
[17:45:22	]Wenli entered observer.
[17:45:22	]Wenli exited observer at their location.
[17:45:24	]Wenli entered observer.
[17:45:24	]Wenli exited observer at their location.
[17:45:24	]Wenli entered observer.
[17:45:24	]Wenli exited observer at their location.
[17:45:25	]Wenli entered observer.
[17:45:25	]Wenli exited observer at their location.
[17:45:26	]Wenli entered observer.
[17:45:26	]Wenli exited observer at their location.
[17:45:28	]Wenli entered observer.
[17:45:28	]Wenli exited observer at their location.
[17:45:30	]Wenli entered observer.
[17:45:31	]Wenli exited observer at their location.
[17:45:33	]Wenli entered observer.
[17:45:33	]Wenli exited observer at their location.
[17:45:44	]Wenli entered observer.
[17:45:44	]Wenli exited observer at their location.
[17:45:46	]Wenli entered observer.
[17:45:46	]Wenli exited observer at their location.
[17:45:46	]Wenli entered observer.
[17:45:47	]Wenli exited observer at their location.
[17:46:04	]Wenli entered observer.
[17:46:05	]Wenli exited observer at their location.
[17:46:05	]Wenli entered observer.
[17:46:06	]Wenli exited observer at their location.
[17:46:07	]Wenli entered observer.
[17:46:07	]Wenli exited observer at their location.
[17:46:08	]Wenli entered observer.
[17:46:08	]Wenli exited observer at their location.
[17:46:09	]Wenli entered observer.
[17:46:09	]Wenli exited observer at their location.
[17:46:10	]Wenli entered observer.
[17:46:13	]Wenli exited observer at their location.
[17:46:15	]Wenli entered observer.
[17:46:15	]Wenli exited observer at their location.
[17:46:17	]Wenli entered observer.
[17:46:18	]Wenli exited observer at their location.
[17:46:18	]Wenli entered observer.
[17:46:19	]Wenli exited observer at their location.
[17:46:20	]Wenli entered observer.
[17:46:20	]Wenli exited observer at their location.
[17:46:21	]Wenli entered observer.
[17:46:21	]Wenli exited observer at their location.
[17:46:22	]Wenli entered observer.
[17:46:23	]Wenli exited observer at their location.
[17:46:23	]Wenli entered observer.
[17:46:24	]Wenli exited observer at their location.
[17:46:25	]Wenli entered observer.
[17:46:25	]Wenli exited observer at their location.
[17:46:27	]Wenli entered observer.
[17:46:27	]Wenli exited observer at their location.
[17:46:28	]Wenli entered observer.
[17:46:29	]Wenli exited observer at their location.
[17:46:30	]Wenli entered observer.
[17:46:32	]inkaaz (STEAM_0:0:50287200) has disconnected.
[17:46:32	]Wenli exited observer at their location.
[17:46:33	]Wenli entered observer.
[17:46:34	]Wenli exited observer at their location.
[17:46:36	]Wenli entered observer.
[17:46:36	]Wenli exited observer at their location.
[17:46:37	]Wenli entered observer.
[17:46:37	]Wenli exited observer at their location.
[17:46:38	]Wenli entered observer.
[17:46:38	]Wenli exited observer at their location.
[17:46:41	]Wenli entered observer.
[17:46:41	]Wenli exited observer at their location.
[17:46:42	]Wenli entered observer.
[17:46:43	]Wenli exited observer at their location.
[17:46:45	]Wenli entered observer.
[17:46:46	]Wenli exited observer at their location.
[17:46:47	]Wenli entered observer.
[17:46:47	]Wenli exited observer at their location.
[17:46:49	]Wenli entered observer.
[17:46:49	]Wenli exited observer at their location.
[17:46:57	]Wenli entered observer.
[17:47:00	]Wenli exited observer at their location.
[17:47:01	]Wenli entered observer.
[17:47:05	]Wenli exited observer at their location.
[17:47:06	]Wenli entered observer.
[17:47:07	]Wenli exited observer at their location.
[17:47:08	]Wenli entered observer.
[17:47:10	]Wenli exited observer at their location.
[17:47:11	]Wenli entered observer.
[17:47:19	]Wenli exited observer at their location.
[17:47:19	]Wenli entered observer.
[17:47:31	]Wenli exited observer at their location.
[17:47:32	]Wenli entered observer.
[17:47:32	]Wenli exited observer at their location.
[17:47:34	]Wenli entered observer.
[17:47:36	]Wenli exited observer at their location.
[17:47:37	]Wenli entered observer.
[17:47:39	]Wenli exited observer at their location.
[17:47:39	]Wenli entered observer.
[17:47:48	]Wenli exited observer at their location.
[17:47:49	]Wenli entered observer.
[17:47:50	]Wenli exited observer at their location.
[17:47:52	]Wenli entered observer.
[17:47:54	]Wenli exited observer at their location.
[17:47:55	]Wenli entered observer.
[17:47:56	]Wenli exited observer at their location.
[17:47:57	]Wenli entered observer.
[17:47:58	]Wenli exited observer at their location.
[17:47:58	]Wenli entered observer.
[17:48:00	]Wenli exited observer at their location.
[17:48:01	]Wenli entered observer.
[17:48:02	]Wenli exited observer at their location.
[17:48:03	]Wenli entered observer.
[17:48:03	]Wenli exited observer at their location.
[17:48:04	]Wenli entered observer.
[17:48:04	]Wenli exited observer at their location.
[17:48:04	]Wenli entered observer.
[17:48:05	]Wenli exited observer at their location.
[17:48:05	]Wenli entered observer.
[17:48:05	]Wenli exited observer at their location.
[17:48:07	]Wenli entered observer.
[17:48:08	]Wenli exited observer at their location.
[17:48:09	]Wenli entered observer.
[17:48:09	]Wenli exited observer at their location.
[17:48:10	]Wenli entered observer.
[17:48:11	]Wenli exited observer at their location.
[17:48:11	]Wenli entered observer.
[17:48:11	]Wenli exited observer at their location.
[17:48:13	]Wenli has taken 7 damage from worldspawn.
[17:48:13	]Wenli entered observer.
[17:48:14	]Wenli exited observer at their location.
[17:48:15	]Wenli entered observer.
[17:48:15	]Wenli exited observer at their location.
[17:48:16	]Wenli entered observer.
[17:48:16	]Wenli exited observer at their location.
[17:48:18	]Wenli entered observer.
[17:48:18	]Wenli exited observer at their location.
[17:48:19	]Wenli entered observer.
[17:48:19	]Wenli exited observer at their location.
[17:48:20	]Wenli entered observer.
[17:48:20	]Wenli exited observer at their location.
[17:48:21	]Wenli entered observer.
