[14:15:56	]Commissar_Krieger s'est connecté.
[18:11:24	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:11:29	]Garet a défini le stockage 'Grosse caisse en bois' sur privé, détenu par '10521'.
[18:11:29	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:11:32	]Garet a défini le stockage 'Grosse caisse en bois' sur privé, détenu par '10522'.
[18:11:32	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:11:35	]Garet a défini le stockage 'Grosse caisse en bois' sur privé, détenu par '10523'.
[18:11:35	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:11:40	]Garet a défini le mot de passe du stockage sur 'Caisse en bois' (#10519).
[18:11:40	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:11:44	]Garet a défini le mot de passe du stockage sur 'Grosse caisse en bois' (#10521).
[18:11:44	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:11:47	]Garet a défini le mot de passe du stockage sur 'Grosse caisse en bois' (#10522).
[18:11:47	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:11:54	]Garet a défini le mot de passe du stockage sur 'Grosse caisse en bois' (#10522).
[18:11:54	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_changepassword_private
[18:11:59	]Garet a défini le mot de passe du stockage sur 'Grosse caisse en bois' (#10523).
[18:11:59	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:12:03	]Garet a ouvert le stockage 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Poche à Munitions' #200769 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200810 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200808 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200804 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200802 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200803 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200806 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200807 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:23	]Garet a gagné un 'Munitions de pistolet' #200809 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Poche à Munitions' #200772 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200796 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200797 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200800 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200793 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200795 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200799 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200798 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:26	]Garet a gagné un 'Munitions 357' #200794 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Poche à Munitions' #200817 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200812 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200814 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200816 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200801 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200813 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200805 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200815 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:31	]Garet a gagné un 'Munitions de pistolet' #200811 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:12:34	]Garet a fermé le stockage 'Caisse en bois' #10520.
[18:12:38	]Garet a ouvert le stockage 'Grosse caisse en bois' #10521.
[18:12:42	]Garet a fermé le stockage 'Grosse caisse en bois' #10521.
[18:12:45	]Garet a ouvert le stockage 'Grosse caisse en bois' #10522.
[18:12:53	]Garet a transféré un 'Poche à Munitions' #200772 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:12:54	]Garet a fermé le stockage 'Grosse caisse en bois' #10522.
[18:12:55	]Garet a ouvert le stockage 'Grosse caisse en bois' #10521.
[18:12:58	]Garet a transféré un 'Poche à Munitions' #200817 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:12:58	]Garet a transféré un 'Poche à Munitions' #200769 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:12:59	]Garet a fermé le stockage 'Grosse caisse en bois' #10521.
[18:13:00	]Garet a ouvert le stockage 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Poche à Munitions' #200768 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200780 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200782 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200785 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200786 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200788 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200781 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200791 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:03	]Garet a gagné un 'Munitions pour mitraillette' #200787 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Poche à Munitions' #200771 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200779 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200777 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200784 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200789 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200783 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200790 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200792 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:05	]Garet a gagné un 'Munitions pour mitraillette' #200778 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Poche à Munitions' #200767 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200763 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200757 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200773 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200774 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200776 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200758 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200775 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:07	]Garet a gagné un 'Munitions de fusils d'assault' #200762 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Poche à Munitions' #200770 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200764 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200766 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200759 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200755 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200756 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200765 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200760 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:10	]Garet a gagné un 'Munitions de fusils d'assault' #200761 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Poche à Munitions' #200823 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200827 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200830 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200831 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200828 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200826 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200829 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200824 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:11	]Garet a gagné un 'Munitions de fusils d'assault' #200825 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Poche à Munitions' #200841 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200835 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200838 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200834 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200833 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200836 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200837 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200839 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:13	]Garet a gagné un 'Munitions pour mitraillette' #200840 depuis un conteneur nommé 'Caisse en bois' #10520.
[18:13:14	]Garet a fermé le stockage 'Caisse en bois' #10520.
[18:13:15	]Garet a ouvert le stockage 'Grosse caisse en bois' #10522.
[18:13:21	]Garet a transféré un 'Poche à Munitions' #200767 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:13:25	]Garet a transféré un 'Poche à Munitions' #200768 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:13:28	]Garet a fermé le stockage 'Grosse caisse en bois' #10522.
[18:13:31	]Garet a ouvert le stockage 'Grosse caisse en bois' #10523.
[18:13:35	]Garet a transféré un 'Poche à Munitions' #200771 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:13:47	]Garet a transféré un 'Poche à Munitions' #200823 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:13:49	]Garet a exécuté 'drop' sur l'article 'Poche à Munitions' (#200841)
[18:13:49	]Garet a perdu un 'Poche à Munitions' #200841.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200835.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200838.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200834.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200833.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200836.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200837.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200839.
[18:13:49	]Garet a perdu un 'Munitions pour mitraillette' #200840.
[18:13:50	]Garet a fermé le stockage 'Grosse caisse en bois' #10523.
[18:13:54	]Garet a exécuté 'take' sur l'article 'Poche à Munitions' (#200841)
[18:13:54	]Garet a gagné un 'Poche à Munitions' #200841.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200835.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200838.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200834.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200833.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200836.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200837.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200839.
[18:13:54	]Garet a gagné un 'Munitions pour mitraillette' #200840.
[18:13:54	]Garet a ouvert le stockage 'Grosse caisse en bois' #10523.
[18:13:57	]Garet a transféré un 'Poche à Munitions' #200841 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:13:59	]Garet a fermé le stockage 'Grosse caisse en bois' #10523.
[18:14:00	]Garet a ouvert le stockage 'Grosse caisse en bois' #10521.
[18:14:02	]Garet a transféré un 'Poche à Munitions' #200770 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:14:03	]Garet a fermé le stockage 'Grosse caisse en bois' #10521.
[18:14:04	]Garet a ouvert le stockage 'Grosse caisse en bois' #10523.
[18:14:06	]Garet a fermé le stockage 'Grosse caisse en bois' #10523.
[18:14:16	]Garet s'est give bullet_pouch.
[18:14:16	]Garet a gagné un 'Poche à Munitions' #200842.
[18:14:20	]Garet s'est give bullets_smg1.
[18:14:20	]Garet a gagné un 'Munitions pour mitraillette' #200843.
[18:14:20	]Garet s'est give bullets_smg1.
[18:14:20	]Garet a gagné un 'Munitions pour mitraillette' #200844.
[18:14:21	]Garet s'est give bullets_smg1.
[18:14:21	]Garet a gagné un 'Munitions pour mitraillette' #200845.
[18:14:21	]Garet s'est give bullets_smg1.
[18:14:21	]Garet a gagné un 'Munitions pour mitraillette' #200846.
[18:14:22	]Garet s'est give bullets_smg1.
[18:14:22	]Garet a gagné un 'Munitions pour mitraillette' #200847.
[18:14:23	]Garet s'est give bullets_smg1.
[18:14:23	]Garet a gagné un 'Munitions pour mitraillette' #200848.
[18:14:23	]Garet s'est give bullets_smg1.
[18:14:23	]Garet a gagné un 'Munitions pour mitraillette' #200849.
[18:14:24	]Garet s'est give bullets_smg1.
[18:14:24	]Garet a gagné un 'Munitions pour mitraillette' #200850.
[18:14:25	]Garet a ouvert le stockage 'Grosse caisse en bois' #10523.
[18:14:28	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:28	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:29	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:29	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:30	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:30	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:30	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:31	]Garet a exécuté 'combine' sur l'article 'Poche à Munitions' (#200842)
[18:14:37	]Garet a transféré un 'Poche à Munitions' #200842 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:14:40	]Garet a fermé le stockage 'Grosse caisse en bois' #10523.
[18:15:22	]Garet s'est give torso_green_kevlar_t2.
[18:15:22	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200851.
[18:15:22	]Garet s'est give torso_green_kevlar_t2.
[18:15:22	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200852.
[18:15:23	]Garet s'est give torso_green_kevlar_t2.
[18:15:23	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200853.
[18:15:23	]Garet s'est give torso_green_kevlar_t2.
[18:15:23	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200854.
[18:15:24	]Garet s'est give torso_green_kevlar_t2.
[18:15:24	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200855.
[18:15:25	]Garet s'est give torso_green_kevlar_t2.
[18:15:25	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200856.
[18:15:26	]Garet s'est give torso_green_kevlar_t2.
[18:15:26	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200857.
[18:15:27	]Garet s'est give torso_green_kevlar_t2.
[18:15:27	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 2' #200858.
[18:15:28	]Garet s'est give torso_green_kevlar_t3.
[18:15:28	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 3' #200859.
[18:15:29	]Garet s'est give torso_green_kevlar_t3.
[18:15:29	]Garet a gagné un 'Uniforme avec Kevlar vert de Tier 3' #200860.
[18:15:32	]Garet a ouvert le stockage 'Grosse caisse en bois' #10522.
[18:15:35	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200854 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:15:36	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200853 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:15:37	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200852 vers un conteneur nommé 'Grosse caisse en bois' #10522.
[18:15:38	]Garet a fermé le stockage 'Grosse caisse en bois' #10522.
[18:15:39	]Garet a ouvert le stockage 'Grosse caisse en bois' #10523.
[18:15:41	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200858 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:15:44	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 3' #200860 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:15:46	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200851 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:15:48	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200857 vers un conteneur nommé 'Grosse caisse en bois' #10523.
[18:15:49	]Garet a fermé le stockage 'Grosse caisse en bois' #10523.
[18:15:50	]Garet a ouvert le stockage 'Grosse caisse en bois' #10521.
[18:15:53	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 3' #200859 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:15:54	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200855 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:15:56	]Garet a transféré un 'Uniforme avec Kevlar vert de Tier 2' #200856 vers un conteneur nommé 'Grosse caisse en bois' #10521.
[18:15:57	]Garet a fermé le stockage 'Grosse caisse en bois' #10521.
[18:16:01	]Garet s'est give bullets_assaultrifle.
[18:16:01	]Garet a gagné un 'Munitions de fusils d'assault' #200861.
[18:16:01	]Garet s'est give bullets_assaultrifle.
[18:16:01	]Garet a gagné un 'Munitions de fusils d'assault' #200862.
[18:16:02	]Garet s'est give bullets_assaultrifle.
[18:16:02	]Garet a gagné un 'Munitions de fusils d'assault' #200863.
[18:16:02	]Garet s'est give bullets_assaultrifle.
[18:16:02	]Garet a gagné un 'Munitions de fusils d'assault' #200864.
[18:16:03	]Garet s'est give bullets_assaultrifle.
[18:16:03	]Garet a gagné un 'Munitions de fusils d'assault' #200865.
[18:16:04	]Garet s'est give bullets_assaultrifle.
[18:16:04	]Garet a gagné un 'Munitions de fusils d'assault' #200866.
[18:16:04	]Garet s'est give bullets_assaultrifle.
[18:16:04	]Garet a gagné un 'Munitions de fusils d'assault' #200867.
[18:16:05	]Garet s'est give bullets_assaultrifle.
[18:16:05	]Garet a gagné un 'Munitions de fusils d'assault' #200868.
[18:16:05	]Garet s'est give bullets_assaultrifle.
[18:16:05	]Garet a gagné un 'Munitions de fusils d'assault' #200869.
[18:16:06	]Garet s'est give bullets_assaultrifle.
[18:16:06	]Garet a gagné un 'Munitions de fusils d'assault' #200870.
[18:16:06	]Garet s'est give bullets_assaultrifle.
[18:16:06	]Garet a gagné un 'Munitions de fusils d'assault' #200871.
[18:16:07	]Garet s'est give bullets_assaultrifle.
[18:16:07	]Garet a gagné un 'Munitions de fusils d'assault' #200872.
[18:16:07	]Garet s'est give bullets_assaultrifle.
[18:16:07	]Garet a gagné un 'Munitions de fusils d'assault' #200873.
[18:16:08	]Garet s'est give bullets_assaultrifle.
[18:16:08	]Garet a gagné un 'Munitions de fusils d'assault' #200874.
[18:16:08	]Garet a ouvert le stockage 'Caisse en bois' #10520.
[18:16:10	]Garet a transféré un 'Munitions de fusils d'assault' #200871 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:10	]Garet a transféré un 'Munitions de fusils d'assault' #200870 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:10	]Garet a transféré un 'Munitions de fusils d'assault' #200865 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:10	]Garet a transféré un 'Munitions de fusils d'assault' #200864 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:11	]Garet a transféré un 'Munitions de fusils d'assault' #200863 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:11	]Garet a transféré un 'Munitions de fusils d'assault' #200869 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:11	]Garet a transféré un 'Munitions de fusils d'assault' #200862 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:11	]Garet a transféré un 'Munitions de fusils d'assault' #200868 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:12	]Garet a transféré un 'Munitions de fusils d'assault' #200874 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:12	]Garet a transféré un 'Munitions de fusils d'assault' #200873 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:12	]Garet a transféré un 'Munitions de fusils d'assault' #200867 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:12	]Garet a transféré un 'Munitions de fusils d'assault' #200861 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:13	]Garet a transféré un 'Munitions de fusils d'assault' #200832 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:13	]Garet a transféré un 'Munitions de fusils d'assault' #200866 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:13	]Garet a transféré un 'Munitions de fusils d'assault' #200872 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:15	]Garet a fermé le stockage 'Caisse en bois' #10520.
[18:16:16	]Garet s'est give bullets_assaultrifle.
[18:16:16	]Garet a gagné un 'Munitions de fusils d'assault' #200875.
[18:16:17	]Garet s'est give bullets_assaultrifle.
[18:16:17	]Garet a gagné un 'Munitions de fusils d'assault' #200876.
[18:16:17	]Garet s'est give bullets_assaultrifle.
[18:16:17	]Garet a gagné un 'Munitions de fusils d'assault' #200877.
[18:16:18	]Garet s'est give bullets_assaultrifle.
[18:16:18	]Garet a gagné un 'Munitions de fusils d'assault' #200878.
[18:16:18	]Garet s'est give bullets_assaultrifle.
[18:16:18	]Garet a gagné un 'Munitions de fusils d'assault' #200879.
[18:16:19	]Garet s'est give bullets_assaultrifle.
[18:16:19	]Garet a gagné un 'Munitions de fusils d'assault' #200880.
[18:16:19	]Garet a ouvert le stockage 'Caisse en bois' #10520.
[18:16:20	]Garet a transféré un 'Munitions de fusils d'assault' #200880 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:20	]Garet a transféré un 'Munitions de fusils d'assault' #200879 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:21	]Garet a transféré un 'Munitions de fusils d'assault' #200878 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:21	]Garet a transféré un 'Munitions de fusils d'assault' #200877 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:21	]Garet a transféré un 'Munitions de fusils d'assault' #200876 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:22	]Garet a transféré un 'Munitions de fusils d'assault' #200875 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:23	]Garet a fermé le stockage 'Caisse en bois' #10520.
[18:16:26	]Garet s'est give bullets_pistol.
[18:16:26	]Garet a gagné un 'Munitions de pistolet' #200881.
[18:16:26	]Garet s'est give bullets_pistol.
[18:16:26	]Garet a gagné un 'Munitions de pistolet' #200882.
[18:16:26	]Garet s'est give bullets_pistol.
[18:16:26	]Garet a gagné un 'Munitions de pistolet' #200883.
[18:16:31	]Garet s'est give bullets_pistol.
[18:16:31	]Garet a gagné un 'Munitions de pistolet' #200884.
[18:16:31	]Garet s'est give bullets_pistol.
[18:16:31	]Garet a gagné un 'Munitions de pistolet' #200885.
[18:16:32	]Garet s'est give bullets_pistol.
[18:16:32	]Garet a gagné un 'Munitions de pistolet' #200886.
[18:16:32	]Garet s'est give bullets_pistol.
[18:16:32	]Garet a gagné un 'Munitions de pistolet' #200887.
[18:16:33	]Garet s'est give bullets_pistol.
[18:16:33	]Garet a gagné un 'Munitions de pistolet' #200888.
[18:16:34	]Garet s'est give bullets_pistol.
[18:16:34	]Garet a gagné un 'Munitions de pistolet' #200889.
[18:16:35	]Garet s'est give bullets_pistol.
[18:16:35	]Garet a gagné un 'Munitions de pistolet' #200890.
[18:16:35	]Garet s'est give bullets_pistol.
[18:16:35	]Garet a gagné un 'Munitions de pistolet' #200891.
[18:16:36	]Garet s'est give bullets_pistol.
[18:16:36	]Garet a gagné un 'Munitions de pistolet' #200892.
[18:16:36	]Garet s'est give bullets_pistol.
[18:16:36	]Garet a gagné un 'Munitions de pistolet' #200893.
[18:16:37	]Garet a ouvert le stockage 'Caisse en bois' #10520.
[18:16:38	]Garet a transféré un 'Munitions de pistolet' #200892 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:38	]Garet a transféré un 'Munitions de pistolet' #200891 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:38	]Garet a transféré un 'Munitions de pistolet' #200890 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:39	]Garet a transféré un 'Munitions de pistolet' #200889 vers un conteneur nommé 'Caisse en bois' #10520.
[18:16:40	]Garet a fermé le stockage 'Caisse en bois' #10520.
[18:16:43	]Garet a ouvert le stockage 'Caisse en bois' #10519.
[18:16:44	]Garet a transféré un 'Munitions de pistolet' #200886 vers un conteneur nommé 'Caisse en bois' #10519.
